calleeService,serviceCallingDate,serviceDelay,responseCode,amount_service_parameter,callerService
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
3,20171126T113717,1174,2,894,10
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
1,20171126T114839,2062,2,585,7
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
6,20171126T112721,3326,1,350,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
4,20171126T114939,2472,1,27,1
8,20171126T112300,3441,2,501,1
8,20171126T112300,3441,2,501,1
